Game,Login,NickName,Rank,Max,Record,Mode,CPs,MapCPs,Challenge,Envir,RecordDate,MapUID
TMU,darkevile,Nexus,6,30,7.64,TAttack,2,2/2,Very Short *92*,Stadium,2013-12-22 13:12:35,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,shockeur44330,©am» ShockeuR,14,30,7.67,TAttack,2,2/2,Very Short *92*,Stadium,2013-02-23 13:34:25,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,beohdoppelz,488pista〆td,8,30,7.65,TAttack,2,2/2,Very Short *92*,Stadium,2012-08-28 11:34:02,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,gusbi,edinson cavani,13,30,7.67,TAttack,2,2/2,Very Short *92*,Stadium,2012-04-28 22:24:42,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,molie_tmu,МΩしιैε ツ,25,30,7.7,TAttack,2,2/2,Very Short *92*,Stadium,2012-01-31 19:05:12,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,mik0256190,נин〤mìkou,16,30,7.68,TAttack,2,2/2,Very Short *92*,Stadium,2012-01-13 19:16:51,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,zennlight,Lƒѕ« Nikk 〤,21,30,7.69,TAttack,2,2/2,Very Short *92*,Stadium,2012-01-13 19:11:08,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,pepernooot,pepernooot,20,30,7.69,TAttack,2,2/2,Very Short *92*,Stadium,2011-08-13 12:26:59,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,_maawal.malych,maawal,12,30,7.67,TAttack,2,2/2,Very Short *92*,Stadium,2011-05-29 10:00:15,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,yhyr2,ınsects.eXcluzive.,24,30,7.7,TAttack,2,2/2,Very Short *92*,Stadium,2010-05-08 23:02:54,WAzN5NXTzkJLeqcVwFsO0aBiNv1
TMU,ai_mei,艾梅,23,30,7.7,TAttack,2,2/2,Very Short *92*,Stadium,2010-05-03 19:28:29,WAzN5NXTzkJLeqcVwFsO0aBiNv1
